salary,name_norm,team_norm,pos_norm,proj_points,source,name,team,pos,pts_per_1k,z_pos_source,salary_dollars_per_point,implied_points,delta_vs_implied,rank_value
2700,texans,HOU,DST,6.8,fantasypros,Texans ,HOU,DST,2.518518518518518,0.8512886603151109,389.110525580967,6.938902503263633,-0.1389025032636333,1.0
2200,jets,NYJ,DST,5.3,fantasypros,Jets ,NYJ,DST,2.4090909090909087,-0.798083119045418,389.110525580967,5.653920558214812,-0.3539205582148126,2.0
2400,bengals,CIN,DST,5.6,fantasypros,Bengals ,CIN,DST,2.3333333333333335,-0.46820876317331234,389.110525580967,6.16791333623434,-0.5679133362343407,3.0
2400,giants,NYG,DST,5.5,fantasypros,Giants ,NYG,DST,2.291666666666667,-0.5781668817973472,389.110525580967,6.16791333623434,-0.6679133362343403,4.0
2300,saints,NO,DST,5.2,fantasypros,Saints ,NO,DST,2.2608695652173916,-0.9080412376694528,389.110525580967,5.910916947224576,-0.7109169472245762,5.0
2400,rams,LAR,DST,5.4,fantasypros,Rams ,LAR,DST,2.2500000000000004,-0.6881250004213821,389.110525580967,6.16791333623434,-0.76791333623434,6.0
3200,falcons,ATL,DST,7.2,fantasypros,Falcons ,ATL,DST,2.25,1.2911211348112523,389.110525580967,8.223884448312454,-1.0238844483124536,7.0
3400,vikings,MIN,DST,7.6,fantasypros,Vikings ,MIN,DST,2.235294117647059,1.7309536093073927,389.110525580967,8.737877226331982,-1.137877226331982,8.0
2300,raiders,LV,DST,5.1,fantasypros,Raiders ,LV,DST,2.217391304347826,-1.0179993562934886,389.110525580967,5.910916947224576,-0.8109169472245767,9.0
3300,chiefs,KC,DST,7.3,fantasypros,Chiefs ,KC,DST,2.2121212121212124,1.4010792534352872,389.110525580967,8.480880837322218,-1.180880837322218,10.0
2200,browns,CLE,DST,4.8,fantasypros,Browns ,CLE,DST,2.1818181818181817,-1.3478737121655942,389.110525580967,5.653920558214812,-0.8539205582148126,11.0
3100,ers,SF,DST,6.7,fantasypros,49ers ,SF,DST,2.161290322580645,0.741330541691076,389.110525580967,7.96688805930269,-1.2668880593026897,12.0
2500,titans,TEN,DST,5.4,fantasypros,Titans ,TEN,DST,2.16,-0.6881250004213821,389.110525580967,6.424909725244104,-1.024909725244104,13.0
2500,lions,DET,DST,5.4,fantasypros,Lions ,DET,DST,2.16,-0.6881250004213821,389.110525580967,6.424909725244104,-1.024909725244104,14.0
2600,patriots,NE,DST,5.6,fantasypros,Patriots ,NE,DST,2.1538461538461537,-0.46820876317331234,389.110525580967,6.681906114253869,-1.0819061142538695,15.0
4000,carson wentz,MIN,QB,14.7,fantasypros,Carson Wentz,MIN,QB,3.675,-0.3344957300233951,389.110525580967,10.279855560390567,4.420144439609432,1.0
5300,drake maye,NE,QB,19.3,fantasypros,Drake Maye,NE,QB,3.6415094339622645,0.598037820344857,389.110525580967,13.620808617517502,5.679191382482498,2.0
5900,dak prescott,DAL,QB,21.2,fantasypros,Dak Prescott,DAL,QB,3.5932203389830506,0.9832147215839172,389.110525580967,15.162786951576088,6.0372130484239115,3.0
5600,caleb williams,CHI,QB,18.7,fantasypros,Caleb Williams,CHI,QB,3.3392857142857144,0.4764030094272586,389.110525580967,14.391797784546794,4.308202215453205,4.0
5000,mac jones,SF,QB,16.6,fantasypros,Mac Jones,SF,QB,3.3200000000000003,0.05068117121566586,389.110525580967,12.849819450488209,3.750180549511793,5.0
7300,lamar jackson,BAL,QB,24.1,fantasypros,Lamar Jackson,BAL,QB,3.301369863013699,1.5711163076856416,389.110525580967,18.760736397712787,5.339263602287215,6.0
6800,jalen hurts,PHI,QB,22.1,fantasypros,Jalen Hurts,PHI,QB,3.2500000000000004,1.1656669379603146,389.110525580967,17.475754452663963,4.624245547336038,7.0
5400,daniel jones,IND,QB,17.5,fantasypros,Daniel Jones,IND,QB,3.2407407407407405,0.23313338759206265,389.110525580967,13.877805006527266,3.6221949934727338,8.0
5200,geno smith,LV,QB,16.7,fantasypros,Geno Smith,LV,QB,3.2115384615384612,0.07095363970193176,389.110525580967,13.363812228507738,3.336187771492261,9.0
5000,bryce young,CAR,QB,15.8,fantasypros,Bryce Young,CAR,QB,3.16,-0.11149857667446503,389.110525580967,12.849819450488209,2.950180549511792,10.0
5300,justin fields,NYJ,QB,16.7,fantasypros,Justin Fields,NYJ,QB,3.150943396226415,0.07095363970193176,389.110525580967,13.620808617517502,3.079191382482497,11.0
7400,josh allen,BUF,QB,23.2,fantasypros,Josh Allen,BUF,QB,3.135135135135135,1.388664091309244,389.110525580967,19.01773278672255,4.1822672132774485,12.0
5800,bo nix,DEN,QB,18.1,fantasypros,Bo Nix,DEN,QB,3.120689655172414,0.354768198509661,389.110525580967,14.905790562566322,3.1942094374336794,13.0
4900,cam ward,TEN,QB,15.0,fantasypros,Cam Ward,TEN,QB,3.061224489795918,-0.2736783245645959,389.110525580967,12.592823061478445,2.4071769385215553,14.0
5100,sam darnold,SEA,QB,15.6,fantasypros,Sam Darnold,SEA,QB,3.058823529411765,-0.15204351364699792,389.110525580967,13.106815839497974,2.4931841605020253,15.0
6600,james cook,BUF,RB,18.7,fantasypros,James Cook,BUF,RB,2.8333333333333335,1.7382243443321677,389.110525580967,16.961761674644436,1.7382383253555638,1.0
5500,jaylen warren,PIT,RB,14.7,fantasypros,Jaylen Warren,PIT,RB,2.6727272727272724,1.0822906294898405,389.110525580967,14.13480139553703,0.5651986044629691,2.0
7900,bijan robinson,ATL,RB,20.8,fantasypros,Bijan Robinson,ATL,RB,2.632911392405063,2.08258954462439,389.110525580967,20.30271473177137,0.4972852682286302,3.0
5400,jordan mason,MIN,RB,14.1,fantasypros,Jordan Mason,MIN,RB,2.6111111111111107,0.9839005722634914,389.110525580967,13.877805006527266,0.22219499347273342,4.0
6800,devon achane,MIA,RB,17.5,fantasypros,De'Von Achane,MIA,RB,2.573529411764706,1.5414442298794697,389.110525580967,17.475754452663963,0.024245547336036566,5.0
8200,christian mccaffrey,SF,RB,20.9,fantasypros,Christian McCaffrey,SF,RB,2.548780487804878,2.0989878874954475,389.110525580967,21.073703898800662,-0.17370389880066384,6.0
6100,javonte williams,DAL,RB,15.5,fantasypros,Javonte Williams,DAL,RB,2.540983606557377,1.213477372458306,389.110525580967,15.676779729595616,-0.17677972959561572,7.0
6300,alvin kamara,NO,RB,16.0,fantasypros,Alvin Kamara,NO,RB,2.5396825396825395,1.295469086813597,389.110525580967,16.190772507615144,-0.19077250761514364,8.0
5800,kenneth walker iii,SEA,RB,14.7,fantasypros,Kenneth Walker III,SEA,RB,2.5344827586206895,1.0822906294898405,389.110525580967,14.905790562566322,-0.20579056256632278,9.0
6000,breece hall,NYJ,RB,15.2,fantasypros,Breece Hall,NYJ,RB,2.533333333333333,1.1642823438451313,389.110525580967,15.419783340585852,-0.21978334058585247,10.0
7800,saquon barkley,PHI,RB,19.2,fantasypros,Saquon Barkley,PHI,RB,2.4615384615384617,1.8202160586874587,389.110525580967,20.045718342761607,-0.8457183427616073,11.0
6500,james conner,ARI,RB,16.0,fantasypros,James Conner,ARI,RB,2.4615384615384617,1.295469086813597,389.110525580967,16.70476528563467,-0.7047652856346716,12.0
7600,jahmyr gibbs,DET,RB,18.6,fantasypros,Jahmyr Gibbs,DET,RB,2.447368421052632,1.72182600146111,389.110525580967,19.53172556474208,-0.9317255647420772,13.0
7100,bucky irving,TB,RB,17.1,fantasypros,Bucky Irving,TB,RB,2.4084507042253525,1.4758508583952372,389.110525580967,18.24674361969326,-1.1467436196932574,14.0
6900,chase brown,CIN,RB,16.6,fantasypros,Chase Brown,CIN,RB,2.4057971014492754,1.3938591440399462,389.110525580967,17.732750841673727,-1.132750841673726,15.0
3900,juwan johnson,NO,TE,11.1,fantasypros,Juwan Johnson,NO,TE,2.8461538461538463,1.3850632886808687,389.110525580967,10.022859171380803,1.0771408286191964,1.0
5700,trey mcbride,ARI,TE,16.0,fantasypros,Trey McBride,ARI,TE,2.807017543859649,2.720532375734778,389.110525580967,14.648794173556558,1.351205826443442,2.0
3800,tj hockenson,MIN,TE,10.1,fantasypros,T.J. Hockenson,MIN,TE,2.6578947368421053,1.112518577037214,389.110525580967,9.76586278237104,0.3341372176289603,3.0
6000,brock bowers,LV,TE,15.9,fantasypros,Brock Bowers,LV,TE,2.65,2.6932779045704125,389.110525580967,15.419783340585852,0.4802166594141486,4.0
4000,jake ferguson,DAL,TE,10.6,fantasypros,Jake Ferguson,DAL,TE,2.65,1.2487909328590414,389.110525580967,10.279855560390567,0.3201444396094324,5.0
3600,harold fannin jr,CLE,TE,9.4,fantasypros,Harold Fannin Jr.,CLE,TE,2.611111111111111,0.9217372788866557,389.110525580967,9.251870004351511,0.14812999564848894,6.0
4400,tyler warren,IND,TE,11.3,fantasypros,Tyler Warren,IND,TE,2.5681818181818183,1.4395722310096,389.110525580967,11.307841116429625,-0.007841116429624151,7.0
3700,evan engram,DEN,TE,9.4,fantasypros,Evan Engram,DEN,TE,2.5405405405405403,0.9217372788866557,389.110525580967,9.508866393361275,-0.10886639336127502,8.0
4700,tucker kraft,GB,TE,11.8,fantasypros,Tucker Kraft,GB,TE,2.5106382978723403,1.5758445868314275,389.110525580967,12.078830283458917,-0.27883028345891603,9.0
4500,sam laporta,DET,TE,11.2,fantasypros,Sam LaPorta,DET,TE,2.488888888888889,1.412317759845234,389.110525580967,11.564837505439389,-0.36483750543938953,10.0
3900,kyle pitts sr,ATL,TE,9.5,fantasypros,Kyle Pitts Sr.,ATL,TE,2.435897435897436,0.9489917500510211,389.110525580967,10.022859171380803,-0.5228591713808033,11.0
3800,hunter henry,NE,TE,9.1,fantasypros,Hunter Henry,NE,TE,2.3947368421052633,0.839973865393559,389.110525580967,9.76586278237104,-0.6658627823710397,12.0
3300,jatavion sanders,CAR,TE,7.8,fantasypros,Ja'Tavion Sanders,CAR,TE,2.3636363636363638,0.4856657402568077,389.110525580967,8.480880837322218,-0.6808808373222179,13.0
3400,chig okonkwo,TEN,TE,8.0,fantasypros,Chig Okonkwo,TEN,TE,2.3529411764705883,0.5401746825855387,389.110525580967,8.737877226331982,-0.7378772263319817,14.0
3100,pat freiermuth,PIT,TE,7.2,fantasypros,Pat Freiermuth,PIT,TE,2.3225806451612905,0.3221389132706149,389.110525580967,7.96688805930269,-0.7668880593026897,15.0
7200,malik nabers,NYG,WR,19.5,fantasypros,Malik Nabers,NYG,WR,2.7083333333333335,2.2151128355319853,389.110525580967,18.503740008703023,0.9962599912969772,1.0
4700,keenan allen,LAC,WR,12.4,fantasypros,Keenan Allen,LAC,WR,2.6382978723404253,0.8546380467697577,389.110525580967,12.078830283458917,0.3211697165410836,2.0
6000,drake london,ATL,WR,15.8,fantasypros,Drake London,ATL,WR,2.6333333333333333,1.5061330160361768,389.110525580967,15.419783340585852,0.38021665941414895,3.0
7500,justin jefferson,MIN,WR,19.4,fantasypros,Justin Jefferson,MIN,WR,2.5866666666666664,2.195951218788855,389.110525580967,19.274729175732315,0.12527082426768388,4.0
5700,dk metcalf,PIT,WR,14.7,fantasypros,DK Metcalf,PIT,WR,2.578947368421052,1.2953552318617467,389.110525580967,14.648794173556558,0.05120582644344118,5.0
7400,amonra st brown,DET,WR,18.9,fantasypros,Amon-Ra St. Brown,DET,WR,2.554054054054054,2.100143135073205,389.110525580967,19.01773278672255,-0.11773278672255216,6.0
5600,marvin harrison jr,ARI,WR,14.3,fantasypros,Marvin Harrison Jr.,ARI,WR,2.553571428571429,1.2187087648892272,389.110525580967,14.391797784546794,-0.09179778454679344,7.0
6200,garrett wilson,NYJ,WR,15.5,fantasypros,Garrett Wilson,NYJ,WR,2.5,1.4486481658067867,389.110525580967,15.93377611860538,-0.4337761186053797,8.0
8000,ceedee lamb,DAL,WR,19.9,fantasypros,CeeDee Lamb,DAL,WR,2.4875,2.291759302504505,389.110525580967,20.559711120781134,-0.6597111207811359,9.0
3700,elic ayomanor,TEN,WR,9.2,fantasypros,Elic Ayomanor,TEN,WR,2.486486486486486,0.24146631098959864,389.110525580967,9.508866393361275,-0.3088663933612761,10.0
5000,jauan jennings,SF,WR,12.4,fantasypros,Jauan Jennings,SF,WR,2.48,0.8546380467697577,389.110525580967,12.849819450488209,-0.44981945048820826,11.0
6500,jaxon smithnjigba,SEA,WR,16.1,fantasypros,Jaxon Smith-Njigba,SEA,WR,2.476923076923077,1.5636178662655666,389.110525580967,16.70476528563467,-0.6047652856346701,12.0
5300,rome odunze,CHI,WR,13.1,fantasypros,Rome Odunze,CHI,WR,2.4716981132075473,0.9887693639716674,389.110525580967,13.620808617517502,-0.5208086175175026,13.0
6200,davante adams,LAR,WR,15.2,fantasypros,Davante Adams,LAR,WR,2.451612903225806,1.3911633155773966,389.110525580967,15.93377611860538,-0.7337761186053804,14.0
5300,devonta smith,PHI,WR,12.9,fantasypros,DeVonta Smith,PHI,WR,2.4339622641509435,0.9504461304854076,389.110525580967,13.620808617517502,-0.7208086175175019,15.0
